10000 8000
9019 8761 56
2890 1163 83
3716 9932 52
2741 4954 13
2862 396 60
615 904 99
136 4680 98
7032 4387 84
7240 3517 6
8670 241 82
5249 3523 58
2105 9621 95
7296 9916 78
178 3579 58
7577 2750 7
3729 4081 95
2678 4676 53
899 1784 65
3093 3608 72
1243 9929 14
168 5055 91
5973 8922 48
5651 986 44
6446 1577 17
4629 9916 74
5791 5469 12
8146 693 91
9815 6949 57
640 6052 36
8551 9487 26
8162 6955 83
8394 180 97
3065 7065 13
9261 2578 78
6878 4140 11
1947 2445 70
9975 3489 50
6149 3333 65
2214 7282 7
7432 8896 67
8522 4882 10
7641 7231 87
6705 6479 21
6538 1351 47
4208 9646 76
5759 189 22
7666 8486 55
2028 9614 60
9253 1777 48
2503 861 31
9082 2455 97
2106 8752 21
7296 6281 21
4455 5947 24
8318 9135 76
1774 9859 98
2074 9253 22
635 1643 88
8153 3232 47
8680 9926 78
6450 4801 61
4199 855 63
5716 573 61
3245 6473 74
1550 4353 81
4287 2699 10
8643 7465 72
2529 9981 12
3476 4381 47
6890 6671 5
2372 32 89
9320 3165 31
9658 1293 6
6578 6948 6
7171 8166 96
6697 1020 94
5529 4788 9
7984 1969 78
1617 4015 26
3684 9168 6
5928 2097 18
4390 5199 85
4486 9199 20
710 8271 13
7415 6085 18
3580 1331 67
8387 3444 86
4507 4360 27
8074 6431 52
271 268 93
9885 337 11
7604 2677 6
7768 9022 13
5000 542 37
38 1388 55
3289 1647 81
3093 6584 87
761 493 17
9501 7482 47
5665 753 4
5084 9095 25
221 3964 81
4872 8106 56
3343 2593 80
6080 4868 11
3713 968 51
7216 2079 68
7040 1531 33
3779 663 59
6653 7936 95
4365 1874 20
6835 5680 76
8455 5725 71
4808 3559 56
5602 7832 5
440 7375 62
2885 1962 80
1836 797 2
508 80 40
2076 9058 93
7740 8546 74
4773 9097 80
3335 1072 0
707 2955 66
4141 3588 81
7168 8315 96
6225 1009 12
8136 1455 62
5043 742 21
7922 4512 48
6018 7368 17
9714 7650 90
3335 2759 69
1895 5303 40
1979 4199 5
4791 8661 81
3652 8753 33
2029 5987 42
6253 83 20
5814 2718 44
1063 7229 52
8864 4769 70
5005 1047 94
1487 4326 76
1323 6540 79
3990 2588 10
9271 7945 21
8470 183 89
3955 4978 79
5006 3262 35
3487 7196 33
2088 2935 79
5993 4790 62
8965 1001 5
1807 4567 69
3134 2671 57
2998 3545 97
4218 8838 44
7372 8563 28
9264 8801 23
3490 7604 1
4227 1197 92
9771 363 1
2363 7721 65
7421 3445 10
495 6741 22
1812 9151 15
8055 3393 38
5279 9882 8
2654 3822 7
4245 1338 44
2290 1339 54
4604 4623 25
78 1724 81
2330 9733 23
594 9130 46
4987 9445 5
8616 5750 89
7338 1963 35
4697 2209 30
3224 1908 37
4474 1920 72
293 3855 34
9561 1056 6
8184 7075 82
4119 6741 32
4684 2779 79
8283 667 36
4125 4118 37
8028 2119 77
737 4091 56
2795 6060 1
8793 3432 36
4580 4875 7
1184 8074 19
6790 476 41
3351 8329 90
2974 3072 91
2189 5787 90
3239 4893 53
7063 681 3
7005 4176 79
1695 6139 68
3998 1083 39
9515 7621 93
5826 5722 38
4828 2581 99
8978 1891 23
6943 4834 43
7349 2702 7
502 5141 87
8346 5891 37
8413 1400 16
1690 3162 35
9126 9410 77
1382 6260 89
6705 3874 63
722 2195 66
6360 6038 88
7811 8245 67
2425 6867 89
542 3063 47
502 9617 99
5023 7226 3
48 1051 70
8636 9458 67
8456 9405 31
9962 6819 75
556 7531 95
8044 591 3
3388 8915 50
2319 6272 91
9383 133 75
4642 3569 0
7954 2078 85
2257 5333 93
490 103 50
7233 722 71
9611 8990 38
1641 3258 47
2352 9658 79
5302 2683 90
2 5568 22
6895 6135 8
2361 6742 94
3699 3188 78
4042 1357 41
1847 7469 45
4380 1913 64
5710 61 85
73 7504 62
2703 8102 69
5154 3529 52
2074 9149 30
2244 844 49
4118 4065 63
9552 8773 70
9731 6747 11
5869 4398 98
7103 7352 79
8053 3043 22
1088 1563 34
9850 7022 40
1911 9492 51
8580 5477 16
9876 9178 20
4615 2348 98
2179 1635 57
2883 1662 2
8262 9420 70
9022 9273 41
2686 8888 17
1717 1892 98
1267 1749 65
389 6932 19
6081 2003 30
3028 8631 89
3152 8630 72
9864 6407 95
5428 9681 90
6610 6177 71
5236 6459 43
6840 7633 37
3893 2630 74
2993 8782 3
7461 8290 62
2307 997 51
8423 8890 17
6640 8703 66
4883 3661 59
8245 386 51
2765 9601 40
7209 1497 83
9250 8058 21
175 581 87
3271 4287 99
2504 4979 38
700 530 61
2118 205 40
8828 4459 22
4398 3760 98
2935 481 14
9567 8493 96
9161 7746 38
7670 538 76
1555 4917 71
6760 5752 58
5433 2255 65
726 2401 34
2759 393 48
7273 8792 93
2933 137 3
3690 8211 94
4668 2627 98
989 5248 79
1647 1149 31
669 875 98
5449 5436 99
123 1443 31
8154 2861 34
9385 3967 16
1393 6704 66
953 308 23
8684 792 67
48 2469 30
811 9814 90
5427 3743 4
599 6474 95
506 5158 89
9858 7809 89
1447 40 18
9364 7975 26
5089 2503 66
6412 6840 70
4676 5395 41
9986 7651 9
8187 83 85
3390 1250 86
4755 1381 28
5502 4277 62
6424 3565 72
832 885 28
6646 889 78
883 4925 65
1260 5045 78
5821 3855 20
2927 4773 34
7251 2675 36
6334 1001 37
9310 5974 90
356 1071 80
935 2145 82
1825 8718 73
4712 3037 98
9905 7162 17
8692 9539 47
946 9103 31
4115 839 58
829 2645 94
7199 9645 72
675 1862 72
3773 2480 38
6897 3542 8
9203 3277 25
134 1401 78
8382 169 36
7478 7939 38
8721 1426 63
1677 1575 24
5981 7700 61
8862 6002 48
5095 684 16
5137 9507 93
1284 2944 59
821 7058 43
7668 677 19
9857 3041 91
5264 1623 15
8072 7929 41
4715 7615 36
4957 7759 0
3452 5093 41
1829 2448 27
1798 6224 24
2274 8133 85
5038 2170 62
2629 5084 9
4878 6923 85
9400 3024 93
3105 9412 65
5767 5407 77
3784 704 90
9834 891 21
8085 7734 90
542 7998 86
2018 5621 24
2597 1376 54
9669 8108 27
2493 6068 66
9102 2438 0
819 4318 90
4984 6339 56
5808 4632 78
6814 3787 39
8074 5020 27
2554 1988 41
6798 3642 2
6321 104 46
7056 8509 33
7708 9761 33
686 4804 85
142 8842 60
2161 1620 43
9578 1187 13
3063 4591 34
415 656 61
5012 8411 59
6251 8738 70
6124 5507 7
7584 951 1
4489 4958 41
1790 7013 12
4855 1060 93
8472 5402 76
3543 7373 66
7651 5275 28
532 761 69
2503 2729 7
7892 2451 53
8392 2570 19
9472 3407 94
9505 8440 83
4262 1409 7
8038 4360 71
1171 654 47
1514 4523 29
489 6766 87
9756 6632 70
5739 666 22
7283 8160 53
4705 7091 59
5386 1687 29
42 8317 45
2356 3388 52
3154 466 33
7760 6919 31
6738 1267 76
1098 4314 20
3053 4007 69
4216 9722 42
9007 5463 60
947 3793 30
8717 3043 76
5314 6626 17
1334 620 71
6792 8964 54
8866 4693 64
3775 3000 12
1100 7551 76
6379 943 77
3789 361 85
8272 1434 44
9561 5563 4
2946 3888 8
2157 1430 23
6464 4074 46
3837 1981 18
6611 6292 91
3832 7123 61
6991 1461 30
8498 7369 91
8400 4179 17
2317 9914 95
1441 5936 67
7028 1453 9
3973 7981 3
6569 6816 83
5367 5385 2
5230 7157 81
5567 8310 66
3687 3171 77
1245 2764 38
7671 2047 15
4592 7311 57
1405 53 71
580 2740 30
3675 4320 90
3377 998 86
1604 4489 31
9744 8388 10
8718 6919 59
5927 4609 19
1479 2716 0
1396 6853 58
830 4593 6
9849 4854 72
6160 2294 54
6333 146 29
471 428 59
2241 9421 88
6366 2033 85
2270 5329 61
2860 2208 82
2162 2506 78
1979 1897 87
6538 4469 83
7540 2795 66
8633 3509 57
2317 6134 53
8135 2258 93
7843 1693 66
2951 8140 94
2937 5174 12
6097 9551 95
1817 3492 92
237 7530 13
5296 1710 89
5628 5809 86
1744 8840 82
8569 6120 93
6292 4962 14
2527 6807 94
8705 4713 11
8913 6693 64
6203 8995 62
4381 6946 9
1048 1768 24
2511 7954 35
1127 4633 40
1862 5127 77
3817 2340 42
5100 8400 58
1476 3154 35
6430 5831 95
3537 5623 22
2927 8029 11
6211 1754 80
2253 3293 21
785 6528 43
1000 555 71
9270 7452 75
4631 3640 34
8040 7986 34
4248 1539 65
2796 312 62
5052 731 87
4464 2557 48
9556 170 50
7182 7301 93
4099 3332 44
2331 75 4
9050 5026 66
1738 9801 23
3843 441 80
9695 7918 59
1363 2628 29
1088 8854 13
4979 8569 66
7679 7577 37
3402 3115 92
1723 2872 48
323 1153 48
4395 5197 8
2908 7411 93
7665 6781 2
7610 4828 56
7705 8965 23
769 1715 53
1805 3684 78
2145 1840 33
9285 6900 68
3994 6633 85
348 8281 32
6256 9910 72
8982 3901 6
635 7860 71
9527 7137 43
9768 8233 95
9171 7603 42
8011 7879 34
4512 4593 30
4161 3234 58
1926 5906 91
4443 6188 27
2719 6484 24
9093 435 24
8094 3582 67
8627 2005 46
2686 6589 40
8237 2850 59
9578 8956 77
2403 8042 0
5811 5225 43
1595 1016 15
8804 1006 68
1641 335 98
1325 8313 23
2312 4618 57
8396 8339 86
2094 7846 43
1522 2911 80
3455 6358 47
8870 990 73
4327 3413 54
1896 2472 50
7241 4641 46
3525 8213 24
7929 8695 3
2594 7993 67
2187 4640 79
41 8125 34
4860 3000 7
2621 7692 93
5117 7717 3
3943 7893 39
9011 6925 28
9978 748 50
2892 6444 54
3623 4353 36
1547 1346 26
6061 3904 38
7571 6886 5
5299 2056 28
1267 3751 19
9991 8166 17
5846 7093 87
1421 2912 67
8299 2444 97
1201 3328 42
7104 1768 68
6641 6296 62
720 1244 18
9625 1219 84
8174 984 59
3149 7014 95
2503 5032 51
1537 6814 63
4651 1219 90
5917 1683 18
6584 7252 86
1269 6248 37
2397 424 68
27 8148 93
382 9271 69
893 877 14
9104 484 43
1495 6811 93
8892 6798 90
1299 4890 93
9074 1549 74
9314 173 69
9218 6865 33
5238 9911 52
6463 6508 49
3088 2245 31
1920 106 71
2368 6421 58
4157 9647 82
8238 4122 23
906 8706 89
1156 345 51
6923 7118 50
2097 1836 91
3406 4510 13
4651 5880 44
4743 7741 45
4578 4949 5
4514 9785 27
8624 7204 56
3917 6227 55
102 4286 68
1698 8979 11
2489 758 90
775 8410 32
7089 7296 50
3112 122 29
7672 5836 77
5553 3976 70
9085 2652 51
397 9751 1
435 6693 72
7916 6716 28
1511 2125 38
7296 8939 44
1056 2826 2
6758 4588 21
2586 4108 77
2628 1979 47
2549 1280 45
5128 4062 26
4719 677 91
4047 3785 31
7406 8684 54
6769 4709 56
2421 5945 65
6016 1860 97
8335 5190 77
8049 1005 86
3388 8675 43
7377 130 87
6555 2482 53
5000 7754 89
2488 5215 8
1310 940 99
2997 9707 54
304 8237 85
2499 792 13
2612 8682 83
5351 6129 37
5033 6600 64
3683 1857 68
1710 1968 8
2641 7732 37
1684 2499 1
9869 8583 56
9692 7640 87
5012 3810 20
4835 1663 15
5897 8677 74
134 7553 33
8878 2286 24
2734 8075 49
712 6984 24
7792 6504 22
4055 8913 62
4473 84 60
1122 6053 97
1822 9750 37
3917 4006 31
2197 7505 36
357 6599 90
1898 985 47
1084 592 25
8996 9855 28
5338 7342 28
9795 742 37
5506 6767 53
9793 8505 46
3609 3924 54
9465 2239 6
4209 5492 99
8175 1036 61
3647 5618 13
6727 5712 96
1909 7841 30
9090 9034 15
6286 3523 66
1344 2736 37
5416 5893 49
971 844 77
9285 6200 90
285 8325 18
5668 6 29
4008 4541 25
5536 1980 16
470 5384 47
328 7936 4
700 7523 64
1411 6040 50
1504 3483 66
6141 2670 45
506 9088 56
5107 8266 57
2678 4199 74
4155 5191 90
9832 858 96
8917 8290 67
1707 8234 46
1462 9402 39
3426 9095 6
8314 350 86
5279 7776 22
6879 2301 12
5676 3164 57
2570 6038 12
144 6561 80
8200 643 56
8061 2647 39
9808 9290 52
979 2618 19
4007 2284 47
9977 5675 13
8709 3371 42
6339 6336 21
1501 6034 29
1358 1436 69
2897 8504 98
4202 3105 38
5032 65 16
4481 5579 23
1727 1771 13
382 6140 16
8488 5319 89
5513 8259 51
2271 3283 64
7038 3012 84
1759 3501 74
8733 5059 14
7649 6595 22
4541 416 77
1052 565 91
138 3310 67
5055 3787 24
8222 6439 41
6648 6804 34
9368 1441 72
2668 9974 76
5137 633 41
5745 8018 15
2974 9252 46
8956 5524 66
5581 8144 40
9334 5296 76
5027 1205 18
4291 1641 65
6191 2471 59
3700 217 16
1943 4624 64
1505 1157 2
7666 9275 46
7632 9789 46
2145 6003 52
1901 8326 53
1184 9649 50
405 4346 25
8970 4336 95
9793 1323 32
8856 5896 10
7776 5692 50
5290 3795 52
7350 8315 36
9361 3760 84
8729 2534 50
8082 6806 36
5584 790 17
9182 9066 16
6388 9425 1
5610 6450 82
8621 5193 38
6754 4593 95
280 5638 67
7420 4345 83
3865 4696 33
390 2632 89
7839 183 17
2129 6753 79
8613 600 52
5145 9861 51
8318 8963 13
4907 9554 76
617 1211 29
2264 5966 31
9942 698 22
1155 7587 57
3158 4464 62
8510 946 65
8380 3165 46
3540 7297 42
4464 3194 84
270 2715 0
1206 2106 2
4696 8833 11
9067 415 45
175 6354 48
4919 3079 88
6321 7592 97
2197 3509 52
71 658 22
6859 7997 99
1899 4120 20
2036 6984 12
1915 3953 85
741 199 67
4208 6844 69
9681 4879 8
7207 5259 6
3849 4075 26
124 7607 74
2884 128 46
3145 481 14
149 4168 38
307 6793 4
1105 1697 17
5955 6641 43
6133 2097 79
736 9555 33
1954 930 52
9904 279 88
4870 1754 72
2176 6701 15
8086 4231 80
9975 260 14
8938 6657 90
9438 8981 47
5242 4618 70
5631 4061 19
8781 990 33
8672 1563 2
502 6928 21
4898 1447 45
8406 2222 86
5794 3577 44
8683 1547 40
485 6464 23
337 6653 68
8130 5255 66
4858 2512 56
3318 3201 42
1276 1506 2
684 5023 70
6312 8250 75
311 6850 95
5488 1520 1
183 4798 92
8848 6784 45
2187 4462 43
8258 6859 71
4016 8172 32
4441 7683 88
2015 3976 16
8298 39 83
3205 9997 46
5769 3675 17
9387 5020 30
7442 1735 89
373 3480 73
777 786 81
1785 522 45
979 6085 13
935 9735 83
2186 6096 48
2085 4752 21
9260 1982 36
7688 9919 36
6792 7065 78
4198 1496 86
1011 976 47
2121 3202 45
6702 8564 39
2572 2257 70
1920 1654 59
1080 7298 91
3960 510 91
5867 2033 75
2136 499 75
5790 4376 56
272 703 86
967 9515 42
3495 3566 56
4186 8437 98
2626 8364 85
1665 8908 40
1360 2814 54
8012 9752 38
8706 2525 30
9249 3179 79
8313 8838 17
8421 4145 91
1969 1839 8
6565 3762 73
3681 1970 47
7053 2708 8
6715 4429 66
7689 4663 71
5541 6259 31
3572 2514 66
5988 8170 68
2199 655 50
3444 2936 78
9406 9427 13
7523 2371 27
7073 3461 73
9934 1102 87
1417 1463 53
6126 595 95
9213 2406 70
3859 3305 96
4833 4223 52
7879 519 26
7793 1585 65
1371 5444 7
7271 4087 99
6519 8596 15
7552 2492 53
8257 7590 59
3357 886 9
5865 5686 19
259 2313 35
1028 4101 68
2869 456 31
7578 6074 95
843 1274 16
5024 511 85
5722 8971 57
4095 8174 38
2183 6658 95
5722 6983 31
9503 2232 0
5590 1480 8
5505 2702 58
9818 557 61
4120 5028 56
5713 3332 92
7182 6467 20
7358 1074 87
9094 4983 64
7264 9714 46
4390 425 55
3163 1467 92
4231 2619 80
4718 6128 48
4720 9079 91
3766 7587 8
2126 4825 59
7518 3220 35
1314 5456 47
9156 134 60
751 6208 78
2294 2589 24
7976 9694 90
189 9372 19
301 1702 44
523 6539 9
1827 6637 86
7416 1827 69
7623 4899 14
415 3644 36
3669 378 76
7858 7952 46
7137 5915 88
4616 7288 82
8074 333 15
1056 5656 62
9616 4524 29
7442 1984 72
7049 3396 26
8582 202 75
5416 665 52
8759 2755 17
2844 3554 43
6824 1999 22
121 5733 13
9917 5793 73
2060 1175 74
5985 2501 22
3208 7395 26
6720 6291 88
929 9072 77
193 8 54
922 876 37
816 3803 90
7912 2289 53
9979 7299 22
2902 7602 69
654 2729 34
2438 2274 26
6463 8134 72
4348 6453 3
2307 5518 33
7437 695 79
661 3144 59
961 1907 76
3472 645 92
2972 628 96
6811 5535 35
1229 3716 32
4956 6158 49
4620 3296 24
3120 4526 6
8983 3445 74
1691 6588 38
664 8104 77
353 2942 4
623 4852 25
7611 7842 24
1149 135 90
146 7328 55
7804 1741 9
9381 2779 2
83 692 32
7312 6099 61
1047 2405 90
7569 9959 28
2139 1228 80
2471 1778 40
8456 2148 44
4745 6125 10
4698 5616 80
4815 6064 26
9472 7479 93
2482 3005 36
5333 1105 87
732 5638 65
1064 4518 99
5032 7508 96
3438 3978 38
8245 4059 69
744 7362 69
1049 6518 67
558 2143 61
5603 9190 86
1226 3603 4
1300 1768 23
1347 5396 66
5230 1665 52
2000 3617 73
786 668 97
1579 6224 28
6260 2158 25
3267 9312 34
452 5169 62
1570 8211 35
6890 1711 64
4750 8960 45
4767 1754 87
8217 4565 42
2088 273 15
7579 837 88
9269 1886 30
809 4640 21
8319 9881 26
3020 1411 54
5893 1984 57
2999 336 29
5950 1457 5
365 2334 49
9094 8592 70
119 3017 13
5253 6117 77
9160 1505 53
4591 6562 76
4854 72 34
3016 5050 93
1945 1852 47
2521 8061 44
259 8366 85
4439 2718 7
5268 3554 50
7432 3799 20
6735 1098 92
3916 6182 29
5316 3059 58
4583 2399 35
8357 70 71
2342 7780 77
406 8295 86
2403 8252 18
3035 7285 28
6678 5960 1
949 2364 85
7626 7157 37
4841 8938 93
7096 1033 93
9768 7873 35
9109 96 81
1561 5739 84
5923 8499 31
1849 5442 6
6850 8287 40
2769 9223 88
6467 2083 0
1158 5606 38
9463 920 66
5758 9685 23
229 9298 56
5470 3175 96
1683 9988 19
2946 2190 75
2469 5519 41
6197 8545 54
7158 4058 94
3791 3341 37
8900 3232 75
9736 7438 58
580 7085 13
5284 5253 27
285 2426 70
4536 3281 70
6549 1348 77
6199 6835 73
8137 8351 31
7617 5233 71
7376 5529 31
1044 342 67
0 7528 16
2634 4999 57
9240 581 23
5941 7131 49
1539 9299 75
4099 4363 45
4726 201 24
4083 7389 35
2024 8895 45
6170 1483 17
8392 8752 24
9773 7740 55
4468 2070 43
30 5756 65
3114 2980 58
2358 8124 8
5311 6667 17
5928 7590 99
4580 3870 90
5412 4000 64
8275 84 82
7911 106 68
8644 3826 36
7366 1592 88
8838 5865 12
3947 7446 59
1052 5771 56
1110 2057 66
6250 2670 45
3925 1148 74
5774 7043 29
5536 6763 16
1858 3934 1
2061 2655 15
1174 582 39
2082 4024 0
1575 9337 76
1300 9424 64
537 2695 25
8629 2851 88
794 1744 6
75 6071 90
1884 4819 79
7195 5158 7
845 5374 38
1156 4820 32
9766 7222 57
553 6271 55
9389 7625 29
3128 2039 27
394 8490 48
8054 5517 92
2530 2618 48
4056 2990 82
9743 6439 1
1493 1927 69
393 1033 31
3592 1135 26
5842 9080 16
4961 8717 7
5920 3245 66
121 7782 82
7006 6491 70
4615 2195 43
1763 4771 92
4935 9217 12
5881 3467 21
6952 7322 28
8230 429 24
7699 4153 51
1794 5041 64
8383 8720 44
388 4077 13
5202 8658 2
3753 2249 58
6575 8090 38
6823 1395 1
7205 1558 23
4287 1041 26
2530 6209 20
935 7043 31
5674 3902 0
3071 8775 9
6430 2794 22
1736 6890 15
2452 6754 82
7933 5188 55
1960 7945 23
542 4659 87
5943 5347 84
1389 1668 88
3198 2280 79
2707 1813 60
5447 9846 71
2182 2344 42
6448 5636 53
7549 3888 23
1825 9251 90
7639 2046 62
5775 7624 78
4985 103 81
377 6350 48
170 8494 16
2729 9726 38
9915 8672 52
5862 6421 67
1128 1465 29
259 4082 89
4986 1419 35
2140 8666 32
3485 5822 3
5161 1896 41
2150 8432 72
2361 4770 13
7165 5645 20
1810 2128 70
6621 3596 4
8514 799 10
5269 9552 35
471 6344 30
6382 7261 95
7151 666 83
